Cell	Center_X	Center_Y	Radius
1	65.31	572.92	27.00
2	69.60	1219.30	20.00
3	99.80	1118.50	30.00
4	120.21	488.65	40.00
5	139.93	940.10	26.00
6	218.76	1717.88	28.00
7	233.89	847.14	22.00
8	252.31	1568.32	38.00
9	325.52	686.26	26.00
10	335.88	1672.20	24.00
11	366.73	1302.84	32.00
12	405.59	1015.95	22.00
13	482.57	131.21	23.00
14	483.67	1323.67	26.00
15	496.09	605.23	22.00
16	539.89	1352.90	24.00
17	580.85	1717.91	30.00
18	577.26	535.81	23.00
19	587.22	676.47	34.00
20	604.12	1794.06	25.00
21	704.35	882.62	30.00
22	723.01	550.69	26.00
23	739.74	1178.99	24.00
24	764.50	1113.17	27.00
25	776.40	244.27	27.00
26	790.71	783.01	24.00
27	799.18	527.78	30.00
28	807.00	1583.61	31.00
29	896.75	1049.23	22.00
30	1003.85	1089.15	24.00
