Cell	Center_X	Center_Y	Radius
1	71.68	577.37	24.00
2	71.52	896.94	9.00
3	207.51	393.23	17.00
4	211.03	360.59	10.00
5	220.76	493.68	6.00
6	232.40	848.42	15.00
7	258.86	970.07	31.00
8	253.58	223.44	10.00
9	336.03	226.52	55.00
10	516.61	413.85	235.00
11	347.68	750.04	19.00
12	379.75	899.97	19.00
13	435.68	121.50	9.00
14	458.00	487.33	29.00
15	458.46	541.27	16.00
16	475.70	860.90	22.00
17	526.06	757.53	46.00
18	538.17	872.22	29.00
19	544.61	117.36	18.00
20	576.50	682.08	48.00
21	556.03	157.92	24.00
22	564.03	198.84	12.00
23	574.52	116.00	12.00
24	591.57	227.30	12.00
25	633.31	842.94	18.00
26	786.77	682.60	200.00
27	689.56	854.67	18.00
28	734.45	927.02	38.00
29	724.07	312.97	11.00
30	745.17	351.97	8.00
31	752.52	67.61	7.00
32	806.68	75.75	28.00
33	805.41	789.66	18.00
34	844.90	562.86	53.00
35	863.69	369.65	42.00
36	869.58	222.29	58.00
37	867.21	138.76	14.00
38	925.84	947.51	57.00
39	967.65	897.28	16.00
40	964.95	769.26	18.00
41	1004.09	702.14	43.00
42	1026.03	661.42	27.00
43	1049.53	492.42	26.00
44	1049.28	96.80	21.00
45	1061.86	138.36	17.00
46	1069.39	172.29	15.00
47	1067.23	1049.30	11.00
48	1098.16	920.42	27.00
49	1125.29	727.27	25.00
50	1147.08	895.99	12.00
51	1163.55	615.16	36.00
52	1168.53	728.95	11.00
53	1171.34	287.63	13.00
54	1171.65	127.99	12.00
55	1176.74	478.81	13.00
56	1195.96	99.14	19.00
57	1224.36	820.57	42.00
58	1276.96	830.42	6.00
59	1345.42	247.88	21.00
60	1367.82	351.72	38.00
61	1379.45	665.16	16.00
62	1402.29	95.37	56.00
63	1410.46	226.05	8.00
64	1448.24	308.48	45.00
65	1458.34	888.64	8.00
66	1499.79	97.71	16.00
67	1518.47	204.21	24.00
68	1532.87	973.72	8.00
69	1548.68	222.76	7.00
70	1665.08	830.54	79.00
71	1677.82	510.71	34.00
72	1724.02	220.19	75.00
73	1700.39	86.14	15.00
74	1750.70	697.69	43.00
75	1767.89	889.91	18.00
76	1765.09	315.20	11.00
77	1782.65	117.42	11.00
78	1873.44	561.92	28.00
