epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62397,2.8388,3.29085,1.5763,0.04562,0.74529,0.09622,0.02571,1.94,3.40926,1.13044,0.00032,0.00032,0.00032
2,7.70632,2.19422,1.9883,1.18367,0.04182,0.68385,0.06759,0.01857,2.20477,3.27066,1.22191,0.000653466,0.000653466,0.000653466
3,11.1977,2.08694,1.5445,1.17004,0.05697,0.93162,0.16405,0.04929,1.93832,2.8671,1.11505,0.0009802,0.0009802,0.0009802
4,14.237,1.99515,1.45575,1.16853,0.05788,0.94648,0.44091,0.13801,1.8438,2.39346,1.13342,0.0013002,0.0013002,0.0013002
5,17.3292,1.98197,1.4362,1.18242,0.58256,0.46283,0.51868,0.19954,1.91367,2.0798,1.16833,0.00161347,0.00161347,0.00161347
6,20.2779,1.97448,1.36504,1.1782,0.56753,0.67892,0.65807,0.3111,1.85834,1.7058,1.19271,0.001901,0.001901,0.001901
7,23.1588,1.95863,1.39054,1.16037,0.63749,0.76016,0.72371,0.33574,1.83561,1.36842,1.18169,0.0018812,0.0018812,0.0018812
8,26.1286,2.00428,1.36912,1.16398,0.60282,0.70247,0.62016,0.2255,1.89582,1.4048,1.15368,0.0018614,0.0018614,0.0018614
9,29.1123,1.98428,1.30909,1.18703,0.63418,0.71644,0.63873,0.23519,1.93347,1.35727,1.16856,0.0018416,0.0018416,0.0018416
10,32.0247,1.94504,1.29111,1.1505,0.65825,0.78076,0.76758,0.39089,1.77433,1.20087,1.13717,0.0018218,0.0018218,0.0018218
11,34.9321,1.93105,1.29706,1.16763,0.77561,0.7879,0.81589,0.40929,1.78696,1.11087,1.14817,0.001802,0.001802,0.001802
12,37.8681,1.91214,1.28358,1.14599,0.67935,0.80079,0.76719,0.32893,1.86777,1.34463,1.15131,0.0017822,0.0017822,0.0017822
13,40.7351,1.93944,1.28889,1.16086,0.73215,0.78394,0.78426,0.3826,1.7504,1.18412,1.13258,0.0017624,0.0017624,0.0017624
14,43.6136,1.91775,1.26419,1.16619,0.77375,0.80674,0.81262,0.40432,1.7964,1.13198,1.14525,0.0017426,0.0017426,0.0017426
15,46.4793,1.89666,1.2743,1.16717,0.6936,0.7889,0.76606,0.38469,1.70825,1.16351,1.1235,0.0017228,0.0017228,0.0017228
16,49.4111,1.85912,1.25579,1.13023,0.75538,0.78989,0.7942,0.40812,1.69861,1.10131,1.11887,0.001703,0.001703,0.001703
17,52.2621,1.85071,1.21235,1.12101,0.695,0.71655,0.7179,0.3284,1.78282,1.25113,1.1423,0.0016832,0.0016832,0.0016832
18,55.1196,1.90103,1.2711,1.13824,0.70912,0.80278,0.79854,0.40994,1.69562,1.11041,1.11891,0.0016634,0.0016634,0.0016634
19,57.9573,1.87369,1.24529,1.13119,0.75848,0.84143,0.83311,0.41509,1.71334,1.12786,1.11618,0.0016436,0.0016436,0.0016436
20,60.8618,1.78514,1.20837,1.13981,0.74977,0.81961,0.80741,0.41469,1.69099,1.10321,1.1103,0.0016238,0.0016238,0.0016238
21,63.7569,1.83118,1.19312,1.13041,0.72168,0.80178,0.78332,0.41238,1.65409,1.13144,1.11342,0.001604,0.001604,0.001604
22,66.5999,1.83547,1.17082,1.14009,0.76123,0.78791,0.81314,0.42057,1.73797,1.06528,1.14076,0.0015842,0.0015842,0.0015842
23,69.5169,1.87704,1.18608,1.1615,0.77115,0.82755,0.8323,0.43319,1.69953,1.04602,1.12867,0.0015644,0.0015644,0.0015644
24,72.4259,1.85603,1.1894,1.16006,0.76346,0.81863,0.81982,0.4289,1.64858,1.09243,1.10321,0.0015446,0.0015446,0.0015446
25,75.2836,1.83464,1.16591,1.12324,0.82439,0.84836,0.85753,0.44096,1.69778,1.05013,1.11407,0.0015248,0.0015248,0.0015248
26,78.1258,1.81118,1.16741,1.12723,0.80357,0.83927,0.85531,0.43701,1.71118,1.06018,1.12282,0.001505,0.001505,0.001505
27,80.9978,1.84145,1.1797,1.1537,0.77796,0.81863,0.81848,0.44223,1.64087,1.07475,1.10377,0.0014852,0.0014852,0.0014852
28,83.8639,1.8407,1.18345,1.14559,0.82327,0.84936,0.84735,0.43647,1.73222,1.0471,1.13538,0.0014654,0.0014654,0.0014654
29,86.7141,1.84039,1.17264,1.13557,0.72177,0.80079,0.7845,0.42568,1.65794,1.07477,1.11269,0.0014456,0.0014456,0.0014456
30,89.5381,1.82627,1.1787,1.14928,0.75549,0.79584,0.7882,0.40611,1.65999,1.08469,1.10501,0.0014258,0.0014258,0.0014258
31,92.4182,1.83736,1.15392,1.13455,0.80687,0.84836,0.85055,0.45201,1.62587,1.02433,1.10551,0.001406,0.001406,0.001406
32,95.3066,1.81543,1.12745,1.11756,0.81301,0.86224,0.86007,0.4507,1.69509,1.02637,1.11816,0.0013862,0.0013862,0.0013862
33,98.1279,1.80796,1.12583,1.12721,0.80251,0.7889,0.80997,0.40369,1.69908,1.07409,1.11951,0.0013664,0.0013664,0.0013664
34,101.048,1.8194,1.14214,1.1465,0.74212,0.75866,0.78489,0.41575,1.66064,1.09476,1.11305,0.0013466,0.0013466,0.0013466
35,103.854,1.82448,1.14894,1.12839,0.79146,0.84638,0.8395,0.43128,1.68314,1.06203,1.10588,0.0013268,0.0013268,0.0013268
